# Project_code     RA                   Dec                  Release_date   Release_date_Mjd   Group_ous_id              Member_ous_id             Asdm_uid                   Field_of_view       
# 
  2013.1.00034.S   150.53522083333334   2.0114805555555555   2015-10-27     57322.0            uid://A001/X122/Xe6       uid://A001/X122/Xe7       uid://A002/X80325b/X1ae    25.714285714285715  
  2013.1.00034.S   150.42039166666666   2.117661111111111    2015-10-27     57322.0            uid://A001/X122/Xe6       uid://A001/X122/Xe7       uid://A002/X80325b/X1ae    25.714285714285715  
  2013.1.00034.S   150.24455            2.159738888888889    2015-10-27     57322.0            uid://A001/X122/Xe6       uid://A001/X122/Xe7       uid://A002/X80325b/X1ae    25.714285714285715  
  2013.1.00034.S   150.61810000000003   2.415838888888889    2015-10-27     57322.0            uid://A001/X122/Xe9       uid://A001/X122/Xea       uid://A002/X8602fa/X2de7   25.714285714285715  
  2013.1.00034.S   149.38372083333334   2.68005              2015-10-27     57322.0            uid://A001/X122/Xe9       uid://A001/X122/Xea       uid://A002/X8602fa/X2de7   25.714285714285715  
  2013.1.00034.S   149.55367083333334   2.072061111111111    2015-10-27     57322.0            uid://A001/X122/Xe6       uid://A001/X122/Xe7       uid://A002/X80325b/X1ae    25.714285714285715  
  2013.1.00034.S   150.07622083333334   2.1322805555555555   2015-10-27     57322.0            uid://A001/X122/Xe6       uid://A001/X122/Xe7       uid://A002/X80325b/X1ae    25.714285714285715  
  2013.1.00034.S   150.59204166666666   2.225061111111111    2015-10-27     57322.0            uid://A001/X122/Xe6       uid://A001/X122/Xe7       uid://A002/X80325b/X1ae    25.714285714285715  
  2013.1.00034.S   150.63255833333332   2.3885               2015-10-27     57322.0            uid://A001/X122/Xe9       uid://A001/X122/Xea       uid://A002/X8602fa/X2de7   25.714285714285715  
  2013.1.00034.S   149.49214166666667   2.2006305555555556   2015-10-27     57322.0            uid://A001/X122/Xe6       uid://A001/X122/Xe7       uid://A002/X80325b/X1ae    25.714285714285715  
  2013.1.00034.S   149.32819166666667   2.238511111111111    2015-10-27     57322.0            uid://A001/X122/Xe6       uid://A001/X122/Xe7       uid://A002/X80325b/X1ae    25.714285714285715  
  2013.1.00034.S   149.34982916666667   2.2933194444444442   2015-10-27     57322.0            uid://A001/X122/Xe6       uid://A001/X122/Xe7       uid://A002/X80325b/X1ae    25.714285714285715  
  2013.1.00034.S   149.33297083333332   2.2961194444444444   2015-10-27     57322.0            uid://A001/X122/Xe6       uid://A001/X122/Xe7       uid://A002/X80325b/X1ae    25.714285714285715  
  2013.1.00034.S   150.38990833333332   2.0247194444444445   2015-10-27     57322.0            uid://A001/X122/Xe6       uid://A001/X122/Xe7       uid://A002/X80325b/X1ae    25.714285714285715  
  2013.1.00034.S   149.64172916666666   2.15095              2015-10-27     57322.0            uid://A001/X122/Xe6       uid://A001/X122/Xe7       uid://A002/X80325b/X1ae    25.714285714285715  
